Tahun,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Agu,Sep,Okt,Nov,Des
2087,198.8,250.8,112.75,257.0,217.5,0.0,0.0,48.0,51.5,108.8,144.0,24.75
2088,169.3,250.8,194.5,240.0,225.8,148.0,143.25,48.3,302.5,8.3,52.0,144.75
2089,236.5,246.3,241.0,62.5,317.0,204.3,1.5,170.3,25.0,0.0,99.25,100.0
2090,383.8,250.8,381.8,107.3,115.8,207.8,14.33,50.0,136.0,8.3,20.0,436.5
2091,272.5,274.0,381.8,62.5,225.8,174.8,168.5,65.3,72.8,7.25,121.3,256.3
2092,253.5,160.0,163.25,204.3,268.5,204.3,23.8,274.0,156.75,140.8,121.3,100.0
2093,272.5,174.5,286.3,355.5,217.5,19.5,38.5,0.0,136.0,0.0,322.5,436.5
2094,272.5,361.0,163.25,222.5,281.8,153.75,14.33,50.0,7.8,71.3,0.0,253.0
2095,336.8,314.5,227.0,62.5,167.8,148.0,168.5,65.3,43.0,8.3,279.7,222.0
2096,328.5,360.0,194.5,204.3,217.5,153.75,168.5,199.5,25.0,116.5,20.0,256.3
2097,198.8,218.8,297.0,158.75,268.5,75.7,36.0,0.0,45.3,0.0,163.0,212.8
2098,362.0,160.0,426.8,204.3,115.8,134.5,10.0,199.5,118.75,108.8,279.7,436.5
2099,307.25,125.5,227.0,62.5,92.8,17.75,100.5,0.0,51.5,9.0,0.0,460.5
2100,272.5,96.8,161.3,317.3,186.25,70.8,9.3,274.0,118.75,9.0,176.0,460.5
2101,236.5,327.0,286.3,256.8,98.3,114.3,143.25,0.0,27.0,143.67,144.0,100.0
2102,494.8,274.0,280.8,139.7,225.8,70.8,230.3,92.3,131.8,169.3,83.0,436.5
2103,181.5,96.8,286.3,62.5,118.8,204.3,0.0,195.75,7.8,9.0,279.7,100.0
2104,383.8,246.3,194.5,271.3,120.0,161.0,125.8,141.3,45.3,283.5,455.75,256.3
2105,181.5,215.5,286.3,256.8,115.8,19.5,0.0,62.0,3.3,0.0,176.0,281.75
2106,494.8,250.8,236.5,126.8,60.5,75.7,125.8,0.0,131.8,283.5,279.7,288.8
2107,181.5,174.5,140.0,355.5,17.0,207.8,10.0,62.0,125.8,0.0,279.7,24.75
2108,383.8,96.8,163.25,204.3,118.8,19.5,10.0,11.0,27.0,143.67,20.0,324.3
2109,466.75,314.5,286.3,271.3,129.3,17.75,131.3,97.0,45.3,14.0,163.0,206.0
2110,466.75,218.8,426.8,158.75,167.8,17.75,14.33,66.8,15.5,143.67,20.0,144.75
2111,466.75,215.5,241.0,162.5,281.8,0.0,143.25,48.0,15.5,0.0,352.75,288.8
2112,307.25,328.25,426.8,257.0,120.0,19.5,36.0,274.0,15.5,18.25,206.0,460.5
2113,383.8,96.8,236.5,162.5,98.3,0.0,1.5,48.0,118.75,169.3,115.0,281.75
2114,236.5,215.5,426.8,166.3,115.8,19.5,230.3,170.3,136.0,71.3,144.0,288.8
2115,249.0,160.0,112.75,257.0,167.8,80.25,125.8,195.75,302.5,0.0,352.75,281.75
2116,236.5,263.8,280.8,317.3,120.0,80.25,143.25,141.3,43.0,169.3,115.0,100.0
2117,336.8,274.0,111.8,156.3,217.5,148.0,38.8,195.75,302.5,283.5,206.0,383.5
2118,249.0,246.3,297.0,222.5,60.5,82.75,1.5,0.0,15.5,18.25,163.0,144.75
2119,274.25,225.7,236.5,271.3,0.0,114.3,10.0,62.0,118.75,158.0,145.0,299.3
2120,336.8,314.5,286.3,240.0,92.8,204.3,10.0,65.3,159.3,116.5,279.7,253.0
2121,328.5,263.8,286.3,204.3,217.5,75.7,0.0,66.8,27.0,0.0,282.75,24.75
2122,249.0,314.5,426.8,355.5,234.8,161.0,38.5,0.0,45.3,158.0,282.75,206.0
2123,273.3,160.0,381.8,107.3,268.5,70.8,125.8,48.3,156.75,134.75,349.5,403.75
2124,169.3,174.5,194.5,126.8,217.5,29.8,131.3,11.0,25.0,9.0,282.75,496.5
2125,169.3,215.5,253.0,162.5,98.3,148.0,36.0,199.5,3.3,14.0,163.0,253.0
